"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"10817","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with Stimulus Duration.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","g","html-keyboard-response","0","10818","0.0-0.0","","","","","","","","","","","","",""
"11231","","{""P0_Q0"":null,""heard-stroop-effect"":""Yes"",""gerder"":""""}","survey","1","22138","0.0-1.0","[]","","","","","","","","","","","",""
"2351","
		<div style=""width:800px"">
			<p>You will see text in 4 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key B</li><li style=""color:Red"">Red - key R</li><li style=""color:Green"">Green - key G</li><li style=""color:Yellow"">Yellow - key Y</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press B key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>Here is a tip, you can place your figures on the keys to have a better performance.</p>
			<p>For instance, left middle figure on R; left index figure on B; right index figure on G; and right middle figure on Y</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","b","html-keyboard-response","2","24491","0.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","24999","0.0-3.0-0.0","","fixation","","","","","","","","","","",""
"1187","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","4","26689","0.0-3.0-1.0","","","B","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","5","27194","0.0-3.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","6","27698","0.0-3.0-0.1","","fixation","","","","","","","","","","",""
"776","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","7","28977","0.0-3.0-1.1","","","G","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","8","29488","0.0-3.0-2.1","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","30001","0.0-3.0-0.2","","fixation","","","","","","","","","","",""
"648","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","10","31157","0.0-3.0-1.2","","","R","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","11","31666","0.0-3.0-2.2","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","32178","0.0-3.0-0.3","","fixation","","","","","","","","","","",""
"713","
		<div style=""width:800px"">
			<p style=""color:Blue;font:bold 100pt Arial"">
				Red
			</p>
			<p>The correct response is B.</p>
		</div>
	  ","b","html-keyboard-response","13","33405","0.0-3.0-1.3","","","B","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","14","33913","0.0-3.0-2.3","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","34425","0.0-3.0-0.4","","fixation","","","","","","","","","","",""
"792","
		<div style=""width:800px"">
			<p style=""color:Red;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is R.</p>
		</div>
	  ","r","html-keyboard-response","16","35729","0.0-3.0-1.4","","","R","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","17","36239","0.0-3.0-2.4","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","36752","0.0-3.0-0.5","","fixation","","","","","","","","","","",""
"1026","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Blue
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","19","38289","0.0-3.0-1.5","","","Y","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","20","38797","0.0-3.0-2.5","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","39310","0.0-3.0-0.6","","fixation","","","","","","","","","","",""
"604","
		<div style=""width:800px"">
			<p style=""color:Yellow;font:bold 100pt Arial"">
				Yellow
			</p>
			<p>The correct response is Y.</p>
		</div>
	  ","y","html-keyboard-response","22","40427","0.0-3.0-1.6","","","Y","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","23","40936","0.0-3.0-2.6","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","41447","0.0-3.0-0.7","","fixation","","","","","","","","","","",""
"572","
		<div style=""width:800px"">
			<p style=""color:Green;font:bold 100pt Arial"">
				Green
			</p>
			<p>The correct response is G.</p>
		</div>
	  ","g","html-keyboard-response","25","42529","0.0-3.0-1.7","","","G","true","","","","","","","","",""
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","43042","0.0-3.0-2.7","","","","","","","","","","","","",""
"1239","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	","b","html-keyboard-response","27","44282","0.0-4.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","44785","0.0-5.0-0.0","","fixation","","","","","","","","","","",""
"627","","r","psychophysics","29","45929","0.0-5.0-1.0","","response","R","true","key","r","16.683052631578903","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","30","46440","0.0-5.0-2.0","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","46952","0.0-5.0-0.1","","fixation","","","","","","","","","","",""
"407","","b","psychophysics","32","47881","0.0-5.0-1.1","","response","B","true","key","b","16.684320000000007","500","400","Blue","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","33","48397","0.0-5.0-2.1","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","48907","0.0-5.0-0.2","","fixation","","","","","","","","","","",""
"747","","r","psychophysics","35","50172","0.0-5.0-1.2","","response","R","true","key","r","16.682711111111146","500","400","Red","Green","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","36","50682","0.0-5.0-2.2","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","51197","0.0-5.0-0.3","","fixation","","","","","","","","","","",""
"485","","g","psychophysics","38","52196","0.0-5.0-1.3","","response","G","true","key","g","16.653999999999932","500","400","Green","Red","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","39","52708","0.0-5.0-2.3","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","53220","0.0-5.0-0.4","","fixation","","","","","","","","","","",""
"489","","y","psychophysics","41","54225","0.0-5.0-1.4","","response","Y","true","key","y","16.678689655172438","500","400","Yellow","Yellow","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","42","54732","0.0-5.0-2.4","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","55241","0.0-5.0-0.5","","fixation","","","","","","","","","","",""
"741","","r","psychophysics","44","56498","0.0-5.0-1.5","","response","R","true","key","r","16.682340909090932","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","45","57007","0.0-5.0-2.5","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","46","57517","0.0-5.0-0.6","","fixation","","","","","","","","","","",""
"649","","r","psychophysics","47","58707","0.0-5.0-1.6","","response","R","true","key","r","17.103150000000095","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","48","59217","0.0-5.0-2.6","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","59729","0.0-5.0-0.7","","fixation","","","","","","","","","","",""
"647","","b","psychophysics","50","60913","0.0-5.0-1.7","","response","B","true","key","b","17.12407894736852","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","51","61421","0.0-5.0-2.7","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","52","61930","0.0-5.0-0.8","","fixation","","","","","","","","","","",""
"622","","b","psychophysics","53","63067","0.0-5.0-1.8","","response","B","true","key","b","16.684702702702772","500","400","Blue","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","54","63577","0.0-5.0-2.8","","","","","","","","","","","","",""
